unique_id,field,nircam_dr5_id,ra,dec,z_spec,z_flag,muv,muv_err_u,muv_err_l,C4_1549_flux,C4_1549_error,C4_1549_snr,C4_1549_detected,C4_1549_upper3sigma,C4_1549_source,C3_1907_flux,C3_1907_error,C3_1907_snr,C3_1907_detected,C3_1907_upper3sigma,C3_1907_source,O2_3727_flux,O2_3727_error,O2_3727_snr,O2_3727_detected,O2_3727_upper3sigma,O2_3727_source,Ne3_3869_flux,Ne3_3869_error,Ne3_3869_snr,Ne3_3869_detected,Ne3_3869_upper3sigma,Ne3_3869_source,O3_4363_flux,O3_4363_error,O3_4363_snr,O3_4363_detected,O3_4363_upper3sigma,O3_4363_source,HBaB_4861_flux,HBaB_4861_error,HBaB_4861_snr,HBaB_4861_detected,HBaB_4861_upper3sigma,HBaB_4861_source,O3_5007_flux,O3_5007_error,O3_5007_snr,O3_5007_detected,O3_5007_upper3sigma,O3_5007_source,HBaA_6563_flux,HBaA_6563_error,HBaA_6563_snr,HBaA_6563_detected,HBaA_6563_upper3sigma,HBaA_6563_source,N2_6584_flux,N2_6584_error,N2_6584_snr,N2_6584_detected,N2_6584_upper3sigma,N2_6584_source
goods-n-mediumjwst_4,GN,-3,189.13246408073653,62.21189396539296,-1.0,E,nan,nan,nan,nan,nan,nan,0,nan,none,nan,nan,nan,0,nan,none,nan,nan,nan,0,nan,none,nan,nan,nan,0,nan,none,nan,nan,nan,0,nan,none,nan,nan,nan,0,nan,none,nan,nan,nan,0,nan,none,nan,nan,nan,0,nan,none,nan,nan,nan,0,nan,none
goods-n-mediumjwst_33,GN,1000033,189.13706501353215,62.21327335776786,3.908964351667974,A,-18.94706478045336,0.07092827484189002,0.07588770454032812,94.34917094841458,69.02369856103778,1.5898226483829174,0,207.07109568311333,R1000_3pix,29.29626574156336,22.92854228197136,1.5596691159745812,0,68.78562684591408,R1000_3pix,28.824085374129467,13.101003185870526,2.254423471620319,0,39.30300955761158,R1000_3pix,32.56756841356151,12.017882434727431,2.765783690002636,0,36.05364730418229,R1000_3pix,3.518299830975264,3.4148384884869785,1.4673123531925076,0,10.244515465460935,R1000_3pix,52.43840744152315,8.827499262590624,5.815343499887193,1,26.482497787771873,R1000_3pix,247.88439170251942,11.18042432298587,21.397566593212602,1,33.54127296895761,R1000_3pix,160.82618511142658,9.392878157631763,15.537196494732871,1,28.17863447289529,R1000_3pix,4.838961418914921,4.519080132677014,1.457542728477198,0,13.557240398031041,R1000_3pix
goods-n-mediumjwst_58,GN,1000058,189.13101174089405,62.213989428212855,2.4419513717578862,A,nan,nan,nan,nan,nan,nan,0,nan,none,nan,nan,nan,0,nan,none,291.9414261328628,14.570527647826754,19.953217285222273,1,43.711582943480266,R1000_3pix,28.927882161512958,11.459694187483747,2.507995220249181,0,34.37908256245124,R1000_3pix,45.89195054445349,12.702510068311069,3.6099545023766493,1,38.107530204933205,R1000_3pix,107.50811268621503,13.693107335463889,7.959512460721144,1,41.07932200639166,R1000_3pix,457.9284532700128,14.242197928685934,32.682056729090654,1,42.726593786057805,R1000_3pix,364.46802059963915,9.339249218506973,40.63393062929673,1,28.01774765552092,R1000_3pix,12.64386766343616,5.7185977747102,2.2374945602646106,0,17.1557933241306,R1000_3pix
goods-n-mediumjwst_95,GN,1000095,189.1291983907139,62.215140564454934,3.9086680242771434,A,-18.304085715945725,0.06162841590807133,0.06533818946374126,75.77359965173271,74.47611282503367,1.4360515358450285,0,223.428338475101,R1000_3pix,21.559696049754695,19.12157783450886,1.5117615655676186,0,57.36473350352658,R1000_3pix,101.05052541459436,11.6188965300621,8.620967172598037,1,34.8566895901863,R1000_3pix,72.97914803873037,9.872093092260647,7.37071845029409,1,29.61627927678194,R1000_3pix,5.996522170713488,4.689115363150212,1.5535339881600003,0,14.067346089450638,R1000_3pix,94.94016223833022,6.818734095623622,14.821564108879405,1,20.456202286870866,R1000_3pix,580.743996058437,9.877201994410044,55.79836447330367,1,29.63160598323013,R1000_3pix,249.87365332406284,7.583155858516386,30.861090942576297,1,22.749467575549158,R1000_3pix,7.808437811574113,4.402622042227881,1.829525518867991,0,13.207866126683642,R1000_3pix
goods-n-mediumjwst_110,GN,1000110,189.14637872060382,62.21550823489571,4.062786176905345,A,-20.05214147112277,0.08312364731210309,0.09001913215904622,48.63296697911452,42.4091852197007,1.4814593565443677,0,127.22755565910211,R1000_3pix,nan,nan,nan,0,nan,none,528.4984664909464,17.332238372192556,30.76538182095523,1,51.99671511657767,R1000_3pix,89.75544081396151,12.27394242468385,7.284647871485359,1,36.82182727405155,R1000_3pix,4.697714309189455,4.224174685320533,1.5029177715572433,0,12.672524055961599,R1000_3pix,285.7552945727442,9.3145440322365,30.89769028213379,1,27.9436320967095,R1000_3pix,1512.181338425874,13.985494727193538,105.5557951811497,1,41.95648418158061,R1000_3pix,1099.3690103312438,11.918375973378163,95.73812562321622,1,35.75512792013449,R1000_3pix,109.42274920164259,6.4476953087668,16.69899206635116,1,19.3430859263004,R1000_3pix
goods-n-mediumjwst_113,GN,1000113,189.12382509524014,62.21549730340388,5.78634546791552,A,-18.884536105626967,0.28965125206701003,0.3962124715815527,24.097738202237228,12.986232993510823,1.9092059870535962,0,38.95869898053247,R1000_3pix,29.432546834083798,13.483079752870044,2.273134508239716,0,40.449239258610135,R1000_3pix,25.66003307710543,6.862087039712362,3.9378584331310305,1,20.586261119137085,R1000_3pix,14.477440706215571,6.099200669411782,2.436218450151994,0,18.297602008235344,R1000_3pix,3.760335028645731,3.220350642978793,1.5508351965990372,0,9.661051928936379,R1000_3pix,32.738227911435686,4.354099536367484,7.508696758372218,1,13.062298609102452,R1000_3pix,179.6002897212318,6.321215294933343,27.41950119382882,1,18.96364588480003,R1000_3pix,91.14245865464214,5.972517436744077,15.63057799956493,1,17.91755231023223,R1000_3pix,9.669229074451138,4.577738159238717,2.186416534183552,0,13.733214477716153,R1000_3pix
goods-n-mediumjwst_146,GN,1000146,189.12750688375738,62.21619294721527,3.3529633185868244,A,-18.39618449158037,0.36021313877200356,0.5427982512239247,nan,nan,nan,0,nan,none,31.25394983516209,34.20542850614476,1.3757659846311723,0,102.6162855184343,R1000_3pix,132.16833843568267,22.528876120830336,6.00468347581378,1,67.58662836249101,R1000_3pix,57.03291814095806,20.083467259521907,2.9039614681368846,0,60.25040177856572,R1000_3pix,9.045101606880365,8.013320414984133,1.4493672504943016,0,24.039961244952398,R1000_3pix,61.39670879951958,11.679279167119875,5.43114040806753,1,35.037837501359625,R1000_3pix,308.2144549670774,15.56942885937248,19.570630225854956,1,46.70828657811744,R1000_3pix,159.52936668825294,14.959444985271618,10.800397952392082,1,44.87833495581486,R1000_3pix,2.948400550813337,3.240895625047002,1.358472789068097,0,9.722686875141004,R1000_3pix
goods-n-mediumjwst_192,GN,1000192,189.1443345908473,62.216966964188266,-1.0,E,nan,nan,nan,nan,nan,nan,0,nan,none,nan,nan,nan,0,nan,none,nan,nan,nan,0,nan,none,nan,nan,nan,0,nan,none,nan,nan,nan,0,nan,none,nan,nan,nan,0,nan,none,nan,nan,nan,0,nan,none,nan,nan,nan,0,nan,none,nan,nan,nan,0,nan,none
goods-n-mediumjwst_199,GN,1000199,189.12623420880826,62.21710751426018,-1.0,E,nan,nan,nan,nan,nan,nan,0,nan,none,nan,nan,nan,0,nan,none,nan,nan,nan,0,nan,none,nan,nan,nan,0,nan,none,nan,nan,nan,0,nan,none,nan,nan,nan,0,nan,none,nan,nan,nan,0,nan,none,nan,nan,nan,0,nan,none,nan,nan,nan,0,nan,none
goods-n-mediumjwst_265,GN,1000265,189.13843062697867,62.21801838859797,2.973744791145318,A,nan,nan,nan,nan,nan,nan,0,nan,none,173.41407560518508,173.90350055131074,1.5152907543920322,0,521.7105016539322,R1000_3pix,84.37370804608105,47.77795716160633,1.5592837992579196,0,143.33387148481899,R1000_3pix,18.529239573176408,15.226951252231428,1.4951041683876691,0,45.68085375669428,R1000_3pix,12.603050154970527,11.548973161550826,1.4645570202061307,0,34.64691948465248,R1000_3pix,56.343448289172294,19.1357568129503,3.071440734849852,1,57.4072704388509,R1000_3pix,289.4759646784255,21.898701564406156,13.408511802216088,1,65.69610469321847,R1000_3pix,171.60522537695752,15.264545434001917,11.118634536283187,1,45.79363630200575,R1000_3pix,6.649129804244662,6.442241168531444,1.4161811372829218,0,19.32672350559433,R1000_3pix
