model,dust_to_metals,geometry,iterations,logn,lognh,logu,metallicity,microturbulence_kms,no_molecules,radius_log_cm,sed,temperature,cautions,cloudy_exited_ok,zones,halpha_hbeta,oiii_hbeta,nii_halpha,sii_halpha,heii1640_hbeta,heii4686_hbeta,paalpha_halpha,lha_per_qh54,yield_halpha,yield_hbeta,yield_heii1640,yield_heii4686,yield_nii6583,yield_oiii5007,yield_paalpha,yield_sii6716,yield_sii6731,elapsed_seconds
thermal_skin_z_0p02,0.0,open,2,4.0,21.0,-2.0,0.02,0.0,True,17.0,agn_standard,,0,True,48,2.9241510291973736,0.8110663795524764,0.0002086172986323926,0.0001443214563417646,3.6985568499471686,0.4316476520390012,0.08186433700772994,7.2927118133172e+41,7.292711813317199e-13,2.4939586705680235e-13,9.224047924514498e-13,1.0765114044329961e-13,1.5213858381987715e-16,2.022766029691114e-13,5.970130175856525e-14,3.500755179104606e-17,7.024192716682686e-17,75.23874391708523
thermal_skin_base,0.0,open,2,4.0,21.0,-2.0,0.2,0.0,True,17.0,agn_standard,,0,True,55,2.795693431589165,7.39575218074305,0.001729237094563728,0.0012965417999086344,3.600556839806383,0.4330578934596866,0.0944495203289173,7.30171804388755e+41,7.301718043887548e-13,2.6117735089920105e-13,9.403838971826302e-13,1.1310491339978939e-13,1.262640169553565e-15,1.9316029624734588e-12,6.896437668221793e-14,3.127597025806433e-16,6.33938562924088e-16,74.2189780420158
thermal_skin_z_solar,0.0,open,2,4.0,21.0,-2.0,1.0,0.0,True,17.0,agn_standard,,2,True,63,2.755668202764977,17.84516129032258,0.012737549750827786,0.009204020201344526,2.5297695852534563,0.31923502304147466,0.10601357904946652,9.97323288232955e+41,9.973232882329548e-13,3.61917043289995e-13,9.155667284998878e-13,1.1553659565378393e-13,1.2703455001526422e-14,6.458468011226619e-12,1.0572981125495825e-13,3.0107828796680405e-15,6.168600812499425e-15,101.66637595789507
thermal_skin_u_mid,0.0,open,2,4.0,21.0,-2.5,0.2,0.0,True,17.0,agn_standard,,2,True,160,2.8852349738917895,6.727252527496944,0.08716211012706969,0.04016172506738544,1.9785134985001667,0.24379513387401394,0.0941085868309588,1.3696867389934945e+42,1.3696867389934943e-12,4.747227700300517e-13,9.392454085498477e-13,1.157351012725192e-13,1.1938478638373792e-13,3.193579954545016e-12,1.2889928340778206e-13,2.0719874173314754e-14,3.428910806658569e-14,107.85513841593638
thermal_skin_u_low,0.0,open,2,4.0,21.0,-3.0,0.2,0.0,True,17.0,agn_standard,,0,True,151,2.9097115320259688,4.457867612609598,0.17779592400055205,0.11433730505589548,1.7243825714476941,0.21726122749481291,0.0953650457744859,1.4501365474644464e+42,1.4501365474644462e-12,4.98378114635559e-13,8.593945348685189e-13,1.0827824094227213e-13,2.5782836738341164e-13,2.2217036560672916e-12,1.3829233822820186e-13,6.605236213113806e-14,9.975234266900737e-14,113.21114912489429
thermal_skin_u_low_solar,0.0,open,2,4.0,21.0,-3.0,1.0,0.0,True,17.0,agn_standard,,0,True,121,2.8010429492286524,11.370319403201275,0.6361896881625899,0.3220277188809019,1.7591076989932646,0.22873904541174767,0.10636344831152711,1.2900257817693334e+42,1.2900257817693332e-12,4.605519462400885e-13,8.101604744172718e-13,1.0534621254548038e-13,8.207010998255333e-13,5.236622730515789e-12,1.3721159055975983e-13,1.4874290133075997e-13,2.666811584699706e-13,97.58335495810024
thermal_skin_base_iter2,0.0,open,2,4.0,21.0,-2.0,0.2,0.0,True,17.0,agn_standard,,0,True,55,2.795693431589165,7.39575218074305,0.001729237094563728,0.0012965417999086344,3.600556839806383,0.4330578934596866,0.0944495203289173,7.30171804388755e+41,7.301718043887548e-13,2.6117735089920105e-13,9.403838971826302e-13,1.1310491339978939e-13,1.262640169553565e-15,1.9316029624734588e-12,6.896437668221793e-14,3.127597025806433e-16,6.33938562924088e-16,95.36357895797119
thermal_dense_skin,0.0,open,2,10.0,21.0,-1.0,0.2,0.0,True,17.0,agn_standard,,0,True,60,3.310145045798568,2.1701789102184865e-07,1.9251818069764578e-12,2.9807099716504374e-14,6.828984679410024,0.729227442420286,0.10122642672254407,5.412411008685216e+40,5.412411008685215e-14,1.6350978382518216e-14,1.116605808675814e-13,1.1923582146953143e-14,1.0419875205799874e-25,3.548454844717941e-21,5.478790263629648e-15,4.953426813692558e-28,1.1179400650566066e-27,45.03435712493956
