dense_model,diffuse_model,dense_fraction,dense_logn,dense_logu,dense_metallicity,diffuse_logn,diffuse_logu,diffuse_metallicity,halpha_hbeta,oiii_hbeta,nii_halpha,sii_halpha,heii1640_hbeta,heii4686_hbeta,paalpha_halpha,lha_per_qh54,yield_halpha,yield_hbeta,yield_heii1640,yield_heii4686,yield_nii6583,yield_oiii5007,yield_paalpha,yield_sii6716,yield_sii6731
baseline,diffuse_z_0p02,0.0,10.0,-1.0,0.2,4.0,-2.0,0.02,2.8617561683599417,0.15822206095791003,0.009472549765436796,0.008398884239888426,2.2366473149492023,0.29526124818577654,0.10524407252440726,1.3154100094139125e+42,1.3154100094139125e-12,4.596513231830535e-13,1.0280778978102245e-12,1.3571722341327214e-13,1.246028677612697e-14,7.272697967605309e-14,1.3843910643008905e-13,5.425086444302745e-15,5.622889952755249e-15
baseline,diffuse_z_0p02,0.01,10.0,-1.0,0.2,4.0,-2.0,0.02,2.8536982237765285,0.15693792713339494,0.009422150308146453,0.008354197304192573,2.244553181279492,0.2965910759857205,0.10499446107311487,1.3092217283197963e+42,1.3092217283197962e-12,4.587807208945863e-13,1.0297577265936424e-12,1.3607026765162986e-13,1.23356839109204e-14,7.200009534596098e-14,1.3746102979014902e-13,5.370835579930847e-15,5.5666610533887345e-15
baseline,diffuse_z_0p02,0.02,10.0,-1.0,0.2,4.0,-2.0,0.02,2.845609638835065,0.15564891038622358,0.00937127214325368,0.008309085919961018,2.2524891096898267,0.29792596045979697,0.10474247874511444,1.3030334472256805e+42,1.3030334472256804e-12,4.579101186061191e-13,1.0314375553770602e-12,1.3642331188998758e-13,1.2211081045713832e-14,7.127321101586884e-14,1.3648295315020902e-13,5.316584715558949e-15,5.51043215402222e-15
baseline,diffuse_z_0p02,0.03,10.0,-1.0,0.2,4.0,-2.0,0.02,2.837490238437566,0.15435498281235177,0.009319908417872837,0.008263544011047785,2.2604552719735507,0.29926593050497385,0.10448809160038314,1.2968451661315642e+42,1.2968451661315641e-12,4.570395163176519e-13,1.033117384160478e-12,1.367763561283453e-13,1.2086478180507261e-14,7.054632668577673e-14,1.3550487651026897e-13,5.262333851187051e-15,5.454203254655706e-15
baseline,diffuse_z_0p02,0.04,10.0,-1.0,0.2,4.0,-2.0,0.02,2.829339846149346,0.1530561162947147,0.009268052147688829,0.008217565384774292,2.2684518412354855,0.30061101523881956,0.10423126504797262,1.290656885037448e+42,1.2906568850374479e-12,4.561689140291848e-13,1.034797212943896e-12,1.3712940036670304e-13,1.1961875315300693e-14,6.981944235568461e-14,1.3452679987032894e-13,5.208082986815153e-15,5.397974355289191e-15
baseline,diffuse_z_0p02,0.05,10.0,-1.0,0.2,4.0,-2.0,0.02,2.8211582841862337,0.15175228250119052,0.009215696213791116,0.008171143729122221,2.2764789919044657,0.30196124400161184,0.10397196383032874,1.2844686039433318e+42,1.2844686039433318e-12,4.552983117407176e-13,1.036477041727314e-12,1.3748244460506076e-13,1.1837272450094124e-14,6.909255802559248e-14,1.3354872323038894e-13,5.153832122443254e-15,5.341745455922677e-15
baseline,diffuse_z_0p02,0.06,10.0,-1.0,0.2,4.0,-2.0,0.02,2.812945373401647,0.15044345288254035,0.00916283335941577,0.008124272609844852,2.2845368997460254,0.3033166463584715,0.10371015200715623,1.2782803228492159e+42,1.2782803228492158e-12,4.544277094522504e-13,1.0381568705107318e-12,1.3783548884341848e-13,1.1712669584887555e-14,6.836567369550037e-14,1.3257064659044891e-13,5.0995812580713555e-15,5.285516556556162e-15
baseline,diffuse_z_0p02,0.07,10.0,-1.0,0.2,4.0,-2.0,0.02,2.8047009332735175,0.14912959867032427,0.00910945618659243,0.008076945467494052,2.292625741875226,0.30467725210152025,0.10344579293881222,1.2720920417550996e+42,1.2720920417550995e-12,4.535571071637832e-13,1.0398366992941496e-12,1.381885330817762e-13,1.1588066719680987e-14,6.763878936540825e-14,1.315925699505089e-13,5.045330393699457e-15,5.229287657189648e-15
baseline,diffuse_z_0p02,0.08,10.0,-1.0,0.2,4.0,-2.0,0.02,2.796424781891064,0.14781069087479373,0.009055557152692904,0.008029155614360094,2.3007456967696305,0.30604309125206325,0.1031788492692125,1.2659037606609838e+42,1.2659037606609837e-12,4.5268650487531606e-13,1.0415165280775677e-12,1.3854157732013394e-13,1.1463463854474416e-14,6.691190503531615e-14,1.3061449331056889e-13,4.99107952932756e-15,5.173058757823134e-15
baseline,diffuse_z_0p02,0.09,10.0,-1.0,0.2,4.0,-2.0,0.02,2.7881167359414105,0.1464867002827591,0.009001128566878078,0.007980896231321272,2.3088969442824347,0.3074141940627977,0.10290928290823434,1.2597154795668676e+42,1.2597154795668674e-12,4.518159025868489e-13,1.0431963568609855e-12,1.3889462155849166e-13,1.1338860989267848e-14,6.618502070522401e-14,1.2963641667062886e-13,4.936828664955662e-15,5.11682985845662e-15
baseline,diffuse_z_0p02,0.1,10.0,-1.0,0.2,4.0,-2.0,0.02,2.7797766106960577,0.14515759745543313,0.008946162586439523,0.007932160364600186,2.3170796656557444,0.30879059102004597,0.10263705501359774,1.2535271984727515e+42,1.2535271984727514e-12,4.509453002983817e-13,1.0448761856444036e-12,1.392476657968494e-13,1.1214258124061279e-14,6.54581363751319e-14,1.2865834003068883e-13,4.8825778005837635e-15,5.060600959090105e-15
baseline,diffuse_z_0p02,0.11,10.0,-1.0,0.2,4.0,-2.0,0.02,2.771404219997184,0.14382335272624863,0.00889065121303226,0.007882940922423488,2.3252940435340075,0.31017231284601543,0.10236212597220752,1.2473389173786354e+42,1.2473389173786353e-12,4.500746980099145e-13,1.0465560144278214e-12,1.3960071003520712e-13,1.108965525885471e-14,6.473125204503977e-14,1.276802633907488e-13,4.8283269362118646e-15,5.00437205972359e-15
baseline,diffuse_z_0p02,0.12,10.0,-1.0,0.2,4.0,-2.0,0.02,2.7629993762437994,0.14248393619865152,0.00883458628879479,0.007833230671581703,2.3335402619776047,0.31155939050108417,0.10208445538093719,1.2411506362845191e+42,1.241150636284519e-12,4.4920409572144735e-13,1.0482358432112393e-12,1.399537542735648e-13,1.0965052393648141e-14,6.400436771494765e-14,1.2670218675080878e-13,4.774076071839966e-15,4.948143160357076e-15
baseline,diffuse_z_0p02,0.13,10.0,-1.0,0.2,4.0,-2.0,0.02,2.7545618903777336,0.14113931774386754,0.00877795949235248,0.007783022233885597,2.3418185064765975,0.3129518551861139,0.10180400202683505,1.2349623551904032e+42,1.234962355190403e-12,4.4833349343298017e-13,1.0499156719946571e-12,1.4030679851192256e-13,1.0840449528441573e-14,6.327748338485554e-14,1.2572411011086878e-13,4.719825207468068e-15,4.891914260990562e-15
baseline,diffuse_z_0p02,0.14,10.0,-1.0,0.2,4.0,-2.0,0.02,2.746091571869456,0.13978946699864328,0.008720762334700193,0.007732308082515497,2.350128963964636,0.3143497383447886,0.10152072386673226,1.228774074096287e+42,1.228774074096287e-12,4.47462891144513e-13,1.051595500778075e-12,1.4065984275028027e-13,1.0715846663235002e-14,6.255059905476341e-14,1.2474603347092876e-13,4.66557434309617e-15,4.835685361624047e-15
baseline,diffuse_z_0p02,0.15,10.0,-1.0,0.2,4.0,-2.0,0.02,2.7375882287037383,0.13843435336296075,0.008662986154959865,0.007681080538259723,2.3584718228330286,0.31575307166598204,0.10123457800623155,1.2225857930021708e+42,1.2225857930021707e-12,4.465922888560458e-13,1.0532753295614928e-12,1.41012886988638e-13,1.0591243798028434e-14,6.182371472467129e-14,1.237679568309887e-13,4.611323478724272e-15,4.7794564622575326e-15
baseline,diffuse_z_0p02,0.16,10.0,-1.0,0.2,4.0,-2.0,0.02,2.7290516673651437,0.13707394599772496,0.008604622116008587,0.0076293317656382,2.3668472729449803,0.3171618870861522,0.10094552067805462,1.2163975119080545e+42,1.2163975119080545e-12,4.4572168656757864e-13,1.0549551583449108e-12,1.413659312269957e-13,1.0466640932821865e-14,6.109683039457916e-14,1.227898801910487e-13,4.557072614352374e-15,4.723227562891018e-15
baseline,diffuse_z_0p02,0.17,10.0,-1.0,0.2,4.0,-2.0,0.02,2.720481692823347,0.13570821382242454,0.008545661199972547,0.007577053768907151,2.3752555056499935,0.3185762167917639,0.10065350721972506,1.2102092308139387e+42,1.2102092308139386e-12,4.4485108427911146e-13,1.0566349871283287e-12,1.4171897546535346e-13,1.0342038067615296e-14,6.036994606448705e-14,1.2181180355110868e-13,4.5028217499804754e-15,4.666998663524503e-15
baseline,diffuse_z_0p02,0.18,10.0,-1.0,0.2,4.0,-2.0,0.02,2.7118781085182793,0.13433712551276467,0.00848609420358204,0.007524238387940582,2.38369671379844,0.3199960932217397,0.10035849205056346,1.2040209497198226e+42,1.2040209497198226e-12,4.439804819906444e-13,1.0583148159117465e-12,1.4207201970371117e-13,1.0217435202408729e-14,5.964306173439494e-14,1.2083372691116868e-13,4.448570885608577e-15,4.6107697641579894e-15
baseline,diffuse_z_0p02,0.19,10.0,-1.0,0.2,4.0,-2.0,0.02,2.7032407163451047,0.1329606494982724,0.008425911733382457,0.007470877293984088,2.392171091756311,0.3214215490699408,0.1000604286479689,1.1978326686257064e+42,1.1978326686257063e-12,4.431098797021771e-13,1.0599946446951646e-12,1.424250639420689e-13,1.0092832337202159e-14,5.891617740430282e-14,1.1985565027122865e-13,4.394320021236679e-15,4.5545408647914756e-15
baseline,diffuse_z_0p02,0.2,10.0,-1.0,0.2,4.0,-2.0,0.02,2.6945693166390106,0.13157875395987328,0.00836510420079609,0.007416961985276365,2.400678835420124,0.32285261728767545,0.09975926952296178,1.1916443875315903e+42,1.1916443875315902e-12,4.4223927741371e-13,1.0616744734785824e-12,1.4277810818042664e-13,9.96822947199559e-15,5.818929307421069e-14,1.1887757363128862e-13,4.340069156864781e-15,4.498311965424961e-15
baseline,diffuse_z_0p02,0.21,10.0,-1.0,0.2,4.0,-2.0,0.02,2.6858637081598262,0.1301914068274398,0.008303661817029254,0.007362483782533601,2.4092201422320305,0.32428933108623864,0.0994549661949606,1.1854561064374743e+42,1.1854561064374742e-12,4.4136867512524275e-13,1.0633543022620003e-12,1.4313115241878435e-13,9.843626606789021e-15,5.746240874411858e-14,1.178994969913486e-13,4.285818292492883e-15,4.442083066058446e-15
baseline,diffuse_z_0p02,0.22,10.0,-1.0,0.2,4.0,-2.0,0.02,2.6771236880764513,0.12879857577731,0.00824157458781905,0.007307433824291654,2.417795211195081,0.3257317239394812,0.09914746916576436,1.179267825343358e+42,1.179267825343358e-12,4.404980728367756e-13,1.0650341310454181e-12,1.4348419665714207e-13,9.719023741582453e-15,5.6735524414026456e-14,1.1692142035140857e-13,4.2315674281209845e-15,4.385854166691932e-15
baseline,diffuse_z_0p02,0.23,10.0,-1.0,0.2,4.0,-2.0,0.02,2.6683490519511066,0.12740022822977762,0.008178832308013867,0.007251803062100835,2.4264042428886854,0.3271798295864095,0.0988367278927117,1.173079544249242e+42,1.1730795442492419e-12,4.3962747054830844e-13,1.0667139598288362e-12,1.4383724089549982e-13,9.594420876375882e-15,5.600864008393434e-14,1.1594334371146857e-13,4.177316563749086e-15,4.329625267325418e-15
baseline,diffuse_z_0p02,0.24,10.0,-1.0,0.2,4.0,-2.0,0.02,2.659539593723391,0.12599633134655153,0.008115424555981444,0.007195582255567777,2.435047439484248,0.3286336820338159,0.09852269076098577,1.1668912631551257e+42,1.1668912631551256e-12,4.3875686825984126e-13,1.068393788612254e-12,1.441902851338575e-13,9.469818011169312e-15,5.5281755753842213e-14,1.1496526707152852e-13,4.123065699377188e-15,4.273396367958903e-15
baseline,diffuse_z_0p02,0.25,10.0,-1.0,0.2,4.0,-2.0,0.02,2.6506951056941532,0.12458685202818512,0.008051340687838032,0.0071387619672387,2.443725004760998,0.33009331555894117,0.0982053050550335,1.1607029820610097e+42,1.1607029820610096e-12,4.378862659713741e-13,1.0700736173956719e-12,1.4454332937221523e-13,9.345215145962743e-15,5.4554871423750095e-14,1.1398719043158852e-13,4.068814835005289e-15,4.2171674685923885e-15
baseline,diffuse_z_0p02,0.26,10.0,-1.0,0.2,4.0,-2.0,0.02,2.641815378509167,0.12317175691147511,0.007986569831491978,0.0070813325573181275,2.4524371441220025,0.3315587647121682,0.09788451692906516,1.1545147009668936e+42,1.1545147009668935e-12,4.370156636829069e-13,1.0717534461790897e-12,1.4489637361057297e-13,9.220612280756175e-15,5.382798709365797e-14,1.1300911379164849e-13,4.014563970633391e-15,4.160938569225874e-15
baseline,diffuse_z_0p02,0.27,10.0,-1.0,0.2,4.0,-2.0,0.02,2.632900201142612,0.12175101236682906,0.007921100880494721,0.00702328417821683,2.461184064610373,0.33303006431974796,0.0975602713766007,1.1483264198727774e+42,1.1483264198727773e-12,4.3614506139443973e-13,1.0734332749625077e-12,1.452494178489307e-13,9.096009415549606e-15,5.310110276356585e-14,1.1203103715170847e-13,3.960313106261493e-15,4.104709669859359e-15
baseline,diffuse_z_0p02,0.28,10.0,-1.0,0.2,4.0,-2.0,0.02,2.6239493608803603,0.12032458449560127,0.007854922487691865,0.006964606768922526,2.469965974925666,0.3345072494865586,0.09723251219902548,1.1421381387786613e+42,1.1421381387786612e-12,4.3527445910597255e-13,1.0751131037459256e-12,1.456024620872884e-13,8.971406550343037e-15,5.2374218433473734e-14,1.1105296051176844e-13,3.906062241889595e-15,4.048480770492845e-15
baseline,diffuse_z_0p02,0.29,10.0,-1.0,0.2,4.0,-2.0,0.02,2.6149626433030537,0.1188924391273967,0.007788023058666766,0.006905290049186602,2.478783085440486,0.3359903555988974,0.09690118197311871,1.1359498576845453e+42,1.1359498576845452e-12,4.344038568175054e-13,1.0767929325293432e-12,1.4595550632564613e-13,8.846803685136468e-15,5.164733410338161e-14,1.1007488387182841e-13,3.8518113775176964e-15,3.992251871126331e-15
baseline,diffuse_z_0p02,0.3,10.0,-1.0,0.2,4.0,-2.0,0.02,2.605939832268985,0.11745454181734247,0.007720390744968614,0.006845323513519757,2.487635608217281,0.3374794183273064,0.09656622201751434,1.129761576590429e+42,1.129761576590429e-12,4.335332545290382e-13,1.0784727613127613e-12,1.4630855056400387e-13,8.722200819929898e-15,5.092044977328949e-14,1.090968072318884e-13,3.7975605131457975e-15,3.936022971759816e-15
