cautions,cloudy_exited_ok,dust_to_metals,elapsed_seconds,geometry,halpha_hbeta,hbeta_hgamma,hei5876_hbeta,hei7065_hbeta,heii1640_hbeta,heii4686_hbeta,iterations,lha_per_qh54,logn,lognh,logu,metallicity,microturbulence_kms,model,neiii3869_oii3727,nii_halpha,no_molecules,oi6300_halpha,oiii5007_oii3727,oiii5007_oiii4363,oiii_hbeta,paalpha_halpha,radius_log_cm,sed,sii_halpha,temperature,yield_halpha,yield_hbeta,yield_hei5876,yield_hei7065,yield_heii1640,yield_heii4686,yield_hgamma,yield_neiii3869,yield_nii6583,yield_oi6300,yield_oii3726,yield_oii3729,yield_oiii4363,yield_oiii5007,yield_paalpha,yield_sii6716,yield_sii6731,zones
2,True,0.0,156.9014507920947,open,2.884944729877004,2.112134166392634,0.10047596806120859,0.0634372011298681,1.9757790084740106,0.2434554391583817,2,1.368209987792423e+42,4.0,21.0,-2.5,0.2,0.0,filtered_diffuse_u_m2p5,0.8508130613645701,0.08718680132603501,True,0.028557551460951357,13.665120773819469,38.00153206665746,6.730499766464268,0.0941330660704649,17.0,agn_heplus_filtered,0.040211240459486555,,1.368209987792423e-12,4.742586482240008e-13,4.765159679170666e-14,3.00856412549653e-14,9.370302817482409e-13,1.1546084747803456e-13,2.245400201228688e-13,1.9873906699558277e-13,1.1928985237795476e-13,3.9072727135769745e-14,1.5872965766941934e-13,7.485757320458322e-14,8.399655349464068e-14,3.191997721115297e-12,1.2879380117913412e-13,2.0726203107033628e-14,3.429121771115865e-14,160
0,True,0.0,89.60429516597651,open,2.795616522338877,2.0988097791121594,0.07258282882468645,0.0438462717449613,3.591462947352288,0.43189771885457384,2,7.301050915697154e+41,4.0,21.0,-2.0,0.2,0.0,filtered_diffuse_u_m2p0,13.334269717341186,0.0017391264619883039,True,2.6022934941520466e-06,281.01691303252807,28.594450741708147,7.410657266201753,0.0944581505847953,17.0,agn_heplus_filtered,0.0013032163742690058,,7.301050915697153e-13,2.6116067269444115e-13,1.8955780401920584e-14,1.1450921824057362e-14,9.379488792876839e-13,1.1279469879125512e-13,1.2443275007271864e-13,9.183353104900324e-14,1.2697450847812856e-15,1.8999477298391543e-18,4.727937485338607e-15,2.1590936753985987e-15,6.768349055665703e-14,1.935372236749198e-12,6.896437668221793e-14,3.1434413203283454e-16,6.371407782379902e-16,55
0,True,0.0,76.5736627499573,open,2.7667966201969025,2.0948582687174273,0.0029577828006249907,0.0014362797894449417,6.185585776914793,0.728038106218049,2,1.923890368309768e+41,4.0,21.0,-1.5,0.2,0.0,filtered_diffuse_u_m1p5,33.56859771014776,3.555348429190197e-05,True,1.6007456549152914e-09,1623.6911635189354,20.116693187845723,0.2013622366165562,0.0924776577663249,17.0,agn_heplus_filtered,1.4394648829431437e-05,,1.923890368309768e-13,6.953493994700818e-14,2.056692494177524e-16,9.987162890615557e-17,4.3011433553483803e-13,5.0624085995005595e-14,3.319314771093359e-14,2.894748800785403e-16,6.840100598904283e-18,3.079659147605241e-22,5.9192407428077716e-18,2.7041424136185763e-18,6.960244857334286e-16,1.4001711030727486e-14,1.779168750604795e-14,9.166827598420533e-19,1.852689863972409e-18,36
0,True,0.0,74.9378675839398,open,3.3089840641514825,2.0317137882430973,0.0008964679956742641,0.00039923279397661657,6.829357873043727,0.7291313840315045,2,5.409408931828432e+40,10.0,21.0,-1.0,0.2,0.0,filtered_dense,176446.90056976397,1.9364864031571807e-12,True,0.0,228869.46836310672,0.1264811373240687,2.1802117978330516e-07,0.10122094098785227,17.0,agn_heplus_filtered,3.037984830733181e-14,,5.409408931828432e-14,1.6347642741566232e-14,1.4655138522530812e-17,6.526515086647043e-18,1.1164390266282149e-13,1.1919579377810765e-14,8.046233104369823e-15,2.7477675906042974e-21,1.0475246845602767e-25,0.0,1.1298149468456608e-26,4.274623879964318e-27,2.817916119824469e-20,3.564132357192255e-21,5.475454622677666e-15,5.0458240680624465e-28,1.138787821006491e-27,60
